       -2.95         5.99116e-06
       -2.85         1.78661e-05
       -2.75         5.05768e-05
       -2.65         0.000135919
       -2.55         0.000346748
       -2.45         0.000839762
       -2.35          0.00193067
       -2.25          0.00421379
       -2.15          0.00873083
       -2.05           0.0171736
       -1.95           0.0320701
       -1.85           0.0568579
       -1.75            0.095709
       -1.65            0.152976
       -1.55            0.232198
       -1.45            0.334762
       -1.35            0.458544
       -1.25            0.597008
       -1.15            0.739288
       -1.05            0.871571
       -0.95            0.979661
       -0.85             1.05212
       -0.75             1.08304
       -0.65             1.07343
       -0.55             1.03093
       -0.45            0.967723
       -0.35            0.897689
       -0.25            0.833664
       -0.15            0.785637
       -0.05            0.760079
        0.05            0.760079
        0.15            0.785637
        0.25            0.833664
        0.35            0.897689
        0.45            0.967723
        0.55             1.03093
        0.65             1.07343
        0.75             1.08304
        0.85             1.05212
        0.95            0.979661
        1.05            0.871571
        1.15            0.739288
        1.25            0.597008
        1.35            0.458544
        1.45            0.334762
        1.55            0.232198
        1.65            0.152976
        1.75            0.095709
        1.85           0.0568579
        1.95           0.0320701
        2.05           0.0171736
        2.15          0.00873083
        2.25          0.00421379
        2.35          0.00193067
        2.45         0.000839762
        2.55         0.000346748
        2.65         0.000135919
        2.75         5.05768e-05
        2.85         1.78661e-05
        2.95         5.99116e-06
