           -0.754701           -0.656069                   0             3.16799
           -0.832092           -0.554637                  17
           -0.894478           -0.447111                  25
           -0.965397            0.260786                   9
           -0.870714            0.491789                  10
            -0.75808            0.652161                  23
           -0.663351            0.748309                   7
            -0.54778            0.836622                  27
           -0.441534            0.897245                   8
           -0.257007            0.966409                   5
          -0.0564068            0.998408                  15
          -0.0457706            0.998952                   2
          -0.0135474            0.999908                  12
            0.154538            0.987987                  24
            0.233619            0.972328                  16
            0.312037             0.95007                   4
            0.531528            0.847041                  26
            0.837711            0.546114                  28
            0.863731            0.503953                  18
            0.626571           -0.779364                  29
            0.552096           -0.833781                   6
            0.459299           -0.888282                   1
            0.426846           -0.904325                  31
            0.410058           -0.912059                   3
            0.372012           -0.928228                  20
             0.35676           -0.934196                  22
            0.303909           -0.952701                  21
          0.00371557           -0.999993                  19
          -0.0417242           -0.999129                  13
           -0.484213            -0.87495                  14
           -0.533686           -0.845682                  11
           -0.732392           -0.680883                  30
