           -0.754701           -0.660164                   0             3.77497
           -0.732392           -0.893041                  30
           -0.832092           -0.681482                  17
           -0.894478           -0.092985                  25
           -0.965397            0.166357                   9
           -0.663351            0.144877                   7
            -0.75808            0.360274                  23
           -0.870714            0.509307                  10
            -0.54778            0.989221                  27
           -0.257007            0.673133                   5
          -0.0135474            0.512095                  12
            0.154538             0.68001                  24
            0.312037            0.810967                   4
            0.531528            0.940534                  26
            0.837711            0.879751                  28
            0.863731            0.508103                  18
            0.233619            0.160937                  16
          -0.0457706            0.143669                   2
          -0.0564068            0.169834                  15
           -0.441534           0.0917158                   8
          -0.0417242          -0.0114806                  13
            0.372012           -0.261299                  20
            0.459299           -0.337669                   1
            0.303909           -0.572297                  21
            0.426846           -0.776446                  31
            0.626571           -0.964115                  29
            0.552096           -0.957725                   6
            0.410058           -0.827986                   3
             0.35676           -0.803571                  22
          0.00371557           -0.951432                  19
           -0.484213           -0.521464                  14
           -0.533686           -0.613414                  11
