       -2.95         6.69852e-06
       -2.85         1.98718e-05
       -2.75         5.59627e-05
       -2.65         0.000149612
       -2.55         0.000379701
       -2.45         0.000914793
       -2.35          0.00209225
       -2.25          0.00454272
       -2.15          0.00936343
       -2.05           0.0183221
       -1.95           0.0340368
       -1.85           0.0600298
       -1.75             0.10052
       -1.65            0.159825
       -1.55            0.241316
       -1.45            0.346067
       -1.35            0.471502
       -1.25            0.610571
       -1.15            0.751955
       -1.05             0.88158
       -0.95             0.98529
       -0.85             1.05201
       -0.75             1.07645
       -0.65             1.06038
       -0.55             1.01207
       -0.45            0.944166
       -0.35            0.870719
       -0.25             0.80448
       -0.15            0.755202
       -0.05              0.7291
        0.05              0.7291
        0.15            0.755202
        0.25             0.80448
        0.35            0.870719
        0.45            0.944166
        0.55             1.01207
        0.65             1.06038
        0.75             1.07645
        0.85             1.05201
        0.95             0.98529
        1.05             0.88158
        1.15            0.751955
        1.25            0.610571
        1.35            0.471502
        1.45            0.346067
        1.55            0.241316
        1.65            0.159825
        1.75             0.10052
        1.85           0.0600298
        1.95           0.0340368
        2.05           0.0183221
        2.15          0.00936343
        2.25          0.00454272
        2.35          0.00209225
        2.45         0.000914793
        2.55         0.000379701
        2.65         0.000149612
        2.75         5.59627e-05
        2.85         1.98718e-05
        2.95         6.69852e-06
