0.50            ene        -1.0036    0.000196759           heat       0.115004     0.00115911            mag       0.889028     0.00359789            chi              2              0
0.65            ene      -0.939035    0.000237739           heat        0.33288    0.000840821            mag       0.551187     0.00278908            chi        1.53846           -nan
0.80            ene      -0.861605     0.00016433           heat       0.421509    0.000361102            mag       0.294004     0.00179854            chi           1.25              0
0.95            ene      -0.789842    9.55597e-05           heat       0.424763    0.000145107            mag        0.17109    0.000998759            chi        1.05263           -nan
1.10            ene      -0.724951     8.1937e-05           heat       0.396053    9.33748e-05            mag       0.110852    0.000660241            chi       0.909091    2.59396e-09
1.25            ene      -0.666886    7.60463e-05           heat       0.357581    6.22387e-05            mag      0.0781331    0.000489987            chi            0.8    5.39976e-09
1.40            ene      -0.615434    6.78026e-05           heat       0.318326    4.08367e-05            mag      0.0588714    0.000354435            chi       0.714286           -nan
1.55            ene      -0.570013    6.25452e-05           heat       0.281895    2.81001e-05            mag      0.0463785    0.000330594            chi       0.645161           -nan
1.70            ene      -0.529922    6.06891e-05           heat       0.249484    2.20165e-05            mag      0.0380039    0.000275338            chi       0.588235    3.74406e-09
1.85            ene      -0.494411    5.63986e-05           heat       0.221221    1.61361e-05            mag      0.0317893    0.000225931            chi       0.540541    1.83421e-09
2.00            ene      -0.463017    5.16782e-05           heat       0.196747    1.18582e-05            mag      0.0270551    0.000202227            chi            0.5              0
