0.50            ene      -0.974359    0.000210213           heat       0.202478     0.00163758            mag      0.0260239      0.0160226            chi              2              0
0.65            ene      -0.913872    0.000177848           heat        0.39014    0.000769529            mag     0.00379572     0.00434143            chi        1.53846           -nan
0.80            ene      -0.848322    0.000114041           heat       0.438044    0.000302352            mag     -1.144e-05     0.00206176            chi           1.25              0
0.95            ene      -0.782805    8.79654e-05           heat       0.429049    0.000152617            mag     0.00056448     0.00105824            chi        1.05263           -nan
1.10            ene      -0.720744    7.66384e-05           heat       0.397131    9.13064e-05            mag   -0.000328452    0.000674258            chi       0.909091    2.59396e-09
1.25            ene      -0.664088    6.93989e-05           heat       0.357752    5.90009e-05            mag   -0.000684056    0.000468931            chi            0.8    5.39976e-09
1.40            ene      -0.613448    6.13055e-05           heat       0.318205    3.83824e-05            mag   -0.000525304    0.000367646            chi       0.714286           -nan
1.55            ene      -0.568478    5.94756e-05           heat        0.28172    2.81472e-05            mag     -0.0004566    0.000336018            chi       0.645161           -nan
1.70            ene      -0.528711    5.97589e-05           heat       0.249296    2.18705e-05            mag   -0.000263968    0.000269718            chi       0.588235    3.74406e-09
1.85            ene      -0.493449    5.19293e-05           heat        0.22104    1.49759e-05            mag   -0.000157452      0.0002216            chi       0.540541    1.83421e-09
2.00            ene      -0.462194    5.06892e-05           heat       0.196594    1.17163e-05            mag   -0.000122576    0.000193042            chi            0.5              0
